,steel,shape,bore,carbon,hardness,strength,len,thick,width,classes
0,R,COIL,0,0.0,0,0,0,3.2,610.0,2
1,R,SHEET,0,0.0,0,0,762,0.7,1300.0,2
2,A,COIL,0,0.0,60,0,0,2.801,385.1,2
3,A,SHEET,0,0.0,60,0,269,0.8009999999999999,255.0,2
4,A,COIL,0,0.0,45,0,0,1.6,610.0,2
5,R,SHEET,0,0.0,0,0,4880,0.6990000000000001,610.0,2
6,A,COIL,0,0.0,0,0,0,3.3,152.0,2
7,R,COIL,0,0.0,0,0,0,0.6990000000000001,1320.0,2
8,A,SHEET,0,0.0,0,0,762,1.0,1320.0,2
9,R,COIL,0,0.0,0,0,0,1.2,610.0,2
10,R,SHEET,0,0.0,0,0,4880,0.3,1320.0,2
11,R,SHEET,0,0.0,0,0,150,1.2,610.0,2
12,A,COIL,0,0.0,45,0,0,1.2,609.9,2
13,A,SHEET,0,0.0,0,0,761,0.6,1220.0,2
14,A,SHEET,0,0.0,0,0,762,4.0,1320.0,2
15,A,COIL,0,10.0,0,0,0,3.201,600.0,4
16,A,SHEET,0,0.0,80,0,4170,0.8,610.0,4
17,A,SHEET,0,0.0,0,0,762,3.2,1320.1,2
18,A,COIL,0,0.0,70,0,0,0.501,1200.1,2
19,A,SHEET,0,0.0,0,0,761,0.6,610.0,2
20,K,COIL,0,55.0,0,0,0,0.8,610.0,2
21,A,COIL,0,0.0,85,0,0,1.001,50.0,4
22,S,COIL,0,70.0,0,0,0,3.2,609.9,2
23,A,COIL,0,3.0,0,0,0,0.5,610.0,0
24,,COIL,0,0.0,50,0,0,3.2,1320.0,2
25,A,SHEET,0,0.0,60,0,4880,0.8,356.0,2
26,R,SHEET,0,0.0,0,0,4170,0.7,609.9,2
27,K,COIL,0,55.0,0,0,0,0.8,900.0,2
28,W,COIL,500,0.0,0,310,0,1.6,610.0,2
29,A,SHEET,0,0.0,0,0,4880,0.6,610.0,3
30,,SHEET,0,0.0,45,0,4170,1.4,1320.0,2
31,A,SHEET,0,0.0,45,0,762,0.6990000000000001,1320.0,2
32,A,COIL,0,0.0,85,0,0,4.0,450.0,4
33,A,SHEET,0,0.0,0,0,4880,0.75,1320.0,2
34,A,COIL,0,0.0,0,0,0,1.6,1220.0,3
35,M,COIL,0,0.0,0,350,0,1.399,1320.0,2
36,A,COIL,0,0.0,50,0,0,0.6,1320.0,2
37,R,COIL,0,0.0,0,0,0,0.6509999999999999,20.0,2
38,R,SHEET,0,0.0,0,0,4880,1.6,374.9,2
39,A,COIL,0,0.0,0,0,0,1.6,50.0,2
40,R,SHEET,0,0.0,0,0,4880,0.6990000000000001,1320.0,2
41,A,COIL,0,0.0,50,0,0,0.7,610.0,2
42,R,SHEET,0,0.0,0,0,762,0.6,610.0,2
43,A,COIL,0,0.0,0,0,0,0.799,20.0,3
44,A,SHEET,0,0.0,0,0,301,0.6,610.0,2
45,R,SHEET,0,0.0,0,0,4880,0.601,610.0,2
46,A,SHEET,0,0.0,45,0,4880,0.7,1320.0,2
47,W,COIL,500,0.0,0,310,0,2.5,1274.9,2
48,A,SHEET,0,0.0,0,0,4880,0.6990000000000001,1320.0,2
49,A,SHEET,0,0.0,0,0,762,0.7,609.9,2
50,,SHEET,0,0.0,0,0,761,0.3,1320.0,2
51,R,SHEET,0,0.0,0,0,762,1.599,1300.0,2
52,A,SHEET,0,0.0,45,0,4880,0.599,150.0,2
53,A,COIL,0,0.0,0,0,0,0.7,1320.0,2
54,R,SHEET,0,0.0,0,0,4880,0.7,374.9,2
55,,SHEET,0,0.0,0,0,762,0.301,610.0,2
56,A,COIL,0,0.0,0,500,0,1.6,1320.0,2
57,A,SHEET,0,0.0,0,0,762,3.2,1300.0,2
58,A,SHEET,0,0.0,0,0,762,1.2,610.0,2
59,A,SHEET,0,0.0,0,0,4880,1.2,610.0,2
60,A,SHEET,0,0.0,0,0,762,0.6,1220.0,2
61,A,COIL,0,0.0,45,0,0,0.301,610.0,2
62,A,SHEET,0,0.0,85,0,762,1.0,610.0,4
63,R,SHEET,0,0.0,0,0,762,1.6,500.0,2
64,,SHEET,0,0.0,0,0,610,0.301,515.0,2
65,A,SHEET,0,0.0,0,0,611,1.2,335.0,3
66,R,SHEET,0,0.0,0,0,762,0.8,1320.0,1
67,A,COIL,0,0.0,0,0,0,0.4,20.0,2
68,A,COIL,0,0.0,0,0,0,0.6,250.0,3
69,A,COIL,600,0.0,70,0,0,0.8009999999999999,610.0,2
70,R,COIL,600,0.0,0,0,0,3.5,610.0,2
71,,SHEET,0,0.0,0,0,762,0.6990000000000001,610.0,2
72,R,COIL,0,0.0,0,0,0,0.799,1300.0,2
73,A,COIL,0,4.0,0,0,0,0.5,1130.0,2
74,R,SHEET,0,0.0,0,0,612,0.6,609.0,2
75,,SHEET,0,0.0,0,500,4880,1.6,609.9,1
76,A,COIL,0,0.0,0,0,0,0.601,1320.0,2
77,A,COIL,0,0.0,70,0,0,2.0,1250.0,2
78,R,SHEET,0,0.0,0,0,4880,3.2,1320.0,2
79,A,COIL,0,0.0,45,0,0,0.7,610.0,2
80,A,SHEET,0,0.0,0,0,762,0.6,610.0,2
81,V,SHEET,0,0.0,0,0,1,1.599,610.0,1
82,A,COIL,0,0.0,50,0,0,0.8,609.9,2
83,R,SHEET,0,0.0,0,0,4880,1.6,610.0,2
84,K,COIL,600,45.0,0,0,0,3.2,640.0,2
85,R,SHEET,0,0.0,0,0,4880,0.8,1320.0,1
86,A,COIL,0,0.0,0,0,0,1.6,610.0,2
87,M,COIL,0,0.0,0,600,0,1.6,1090.0,1
88,,COIL,0,0.0,0,0,0,0.5,610.0,3
89,A,COIL,0,10.0,0,0,0,1.2009999999999998,1320.0,4
90,,SHEET,0,0.0,0,0,762,0.3,610.0,2
91,A,SHEET,0,0.0,0,0,4880,0.7,1320.1,2
92,A,SHEET,0,0.0,0,0,4880,0.7,610.0,2
93,K,COIL,0,55.0,0,0,0,1.5,640.0,2
94,A,SHEET,0,0.0,45,0,4880,0.599,609.9,2
95,R,SHEET,0,0.0,0,0,762,0.8,610.0,1
96,A,SHEET,0,0.0,0,0,761,1.6,610.0,3
97,A,COIL,0,0.0,0,0,0,0.6,610.0,3
98,R,SHEET,0,0.0,0,0,4880,1.599,610.0,1
99,R,SHEET,0,0.0,0,0,612,2.0,610.0,1
100,R,SHEET,0,0.0,0,500,4880,1.0,610.0,2
101,A,SHEET,0,0.0,0,0,762,0.9990000000000001,610.0,2
102,A,SHEET,0,0.0,0,0,761,0.6990000000000001,610.0,2
103,R,COIL,0,6.0,0,0,0,0.5,25.0,2
104,A,SHEET,0,0.0,45,0,762,0.7,610.0,2
105,A,COIL,0,0.0,45,0,0,1.6,610.0,2
106,A,SHEET,0,0.0,0,0,4880,0.5,1220.0,3
107,R,SHEET,0,0.0,0,0,4880,0.7,1300.0,2
108,A,SHEET,0,0.0,0,0,762,0.7,609.9,2
109,,COIL,0,0.0,0,0,0,0.7,1320.0,2
110,A,COIL,0,0.0,70,0,0,0.8,50.0,2
111,A,SHEET,0,0.0,0,0,761,0.6,1220.0,3
112,R,SHEET,0,0.0,0,0,4880,0.6990000000000001,610.0,2
113,R,SHEET,0,0.0,0,500,762,1.0,1100.0,2
114,M,COIL,0,0.0,0,600,0,1.6,1090.0,1
115,A,COIL,0,0.0,85,0,0,3.2,610.0,4
116,A,SHEET,0,0.0,45,0,4880,0.599,520.0,2
117,R,COIL,0,0.0,0,0,0,0.25,20.0,2
118,S,COIL,0,0.0,0,400,0,0.8,75.0,0
119,R,SHEET,0,0.0,0,0,4880,0.6990000000000001,610.0,2
120,A,SHEET,0,0.0,0,0,4880,0.7,1300.0,2
121,A,COIL,0,0.0,45,0,0,0.6990000000000001,1320.0,2
122,A,COIL,0,4.0,0,0,0,1.0,1130.0,2
123,,COIL,0,0.0,50,0,0,0.451,1320.0,2
124,A,COIL,0,0.0,0,0,0,1.6,1220.0,3
125,W,COIL,0,0.0,0,310,0,1.599,1275.0,2
126,A,SHEET,0,0.0,0,0,4880,1.6,610.0,3
127,R,COIL,0,0.0,0,0,0,1.599,610.0,1
128,R,SHEET,0,0.0,0,0,4170,2.0,610.0,1
129,R,COIL,0,0.0,0,0,0,1.2,1220.0,2
130,K,COIL,0,45.0,0,0,0,1.09,610.0,2
131,R,SHEET,0,0.0,0,0,762,1.599,1300.0,1
132,V,COIL,0,0.0,0,0,0,1.2009999999999998,1525.0,1
133,K,COIL,0,55.0,0,0,0,1.1,900.0,2
134,R,SHEET,0,0.0,0,0,612,2.0,1525.0,1
135,A,COIL,600,0.0,0,0,0,3.5,610.0,2
136,A,COIL,0,0.0,50,0,0,0.6,610.0,2
137,A,COIL,0,0.0,0,0,0,1.6,610.0,3
138,W,SHEET,0,0.0,0,310,4880,2.5,610.0,2
139,A,COIL,0,0.0,60,0,0,0.6,50.0,2
140,A,SHEET,0,0.0,45,0,760,0.6990000000000001,1320.0,2
141,R,COIL,0,0.0,0,0,0,0.4,58.0,2
142,R,COIL,0,0.0,0,0,0,3.2,609.9,2
143,,COIL,0,0.0,0,0,0,0.7,1320.0,2
